Product URL,Description,ASIN,Manufacturer
https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_1?crid=2M096C61O4MLT&keywords=bags&qid=1692638493&sprefix=ba%2Caps%2C283&sr=8-1,"Bags, Wallets and Luggage › Bags & Backpacks › Backpacks › Casual Backpacks",‎B08Z1HHHTD,‎VIP Industries Ltd
https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1692638493&sprefix=ba%2Caps%2C283&sr=8-5,Computers & Accessories › Accessories & Peripherals › Laptop Accessories › Bags & Sleeves › Laptop Backpacks,‎B09VCLZ3K4,‎Amazing Bags
https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1692638493&sprefix=ba%2Caps%2C283&sr=8-6,Computers & Accessories › Accessories & Peripherals › Laptop Accessories › Bags & Sleeves › Laptop Backpacks,‎B09VTDMRY7,"‎FUR JADEN, Fur Jaden, 3C Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002"
https://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1692638493&sprefix=ba%2Caps%2C283&sr=8-8,"Fashion › Deals on shoes, watches, luggage & jewellery › Deals on watches, jewellery & luggage › Luggage",‎B07M9BRCQ5,"‎Fur Jaden, 3-C, Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002, 8080888028"
https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B0821PYKVK/ref=sxin_25_trfobq2av2_1_B0821PYKVK?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B0821PYKVK&pd_rd_r=5352de48-d97d-4d1a-af3e-b6468c7ec1fe&pd_rd_w=m3oGt&pd_rd_wg=NuJ90&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=ZMR4TKDCNWNNRYXZ1FS8&qid=1692638493&sbo=Tc8eqSFhUl4VwMzbE4fw%2Fw%3D%3D&sprefix=ba%2Caps%2C283&sr=1-2-973fd8bd-28ce-479e-8be4-fbaf1193947a,Home & Kitchen › Home Storage & Organisation › Waste & Recycling › Dustbin Bags,‎B0821PYKVK,‎SINAR INDAH PULP & PAPER PVT LTD Plot No
https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BJ32LQ6X/ref=sr_1_11?crid=2M096C61O4MLT&keywords=bags&qid=1692638493&sprefix=ba%2Caps%2C283&sr=8-11,Computers & Accessories › Accessories & Peripherals › Laptop Accessories › Bags & Sleeves › Laptop Backpacks,‎B0BJ32LQ6X,‎Amazing Bags
https://www.amazon.in/WILDHORN-Backpack-Compartment-Business-Stitching/dp/B09QL66G55/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1692638493&sprefix=ba%2Caps%2C283&sr=8-13,Computers & Accessories › Accessories & Peripherals › Laptop Accessories › Bags & Sleeves › Laptop Backpacks,‎B09QL66G55,"‎WildHorn, ADL International, 61 B/H G.J. Khan Road, kolkata-700039, Contact"
https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1692638493&sprefix=ba%2Caps%2C283&sr=8-14,Computers & Accessories › Accessories & Peripherals › Laptop Accessories › Bags & Sleeves › Laptop Backpacks,‎B07G4F6XFH,"‎Gear Merchandise PVT LTD, Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366"
https://www.amazon.in/Safari-45L-21-OB-BLK/dp/B07BZ5VC4H/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1692638493&sprefix=ba%2Caps%2C283&sr=8-16,"Bags, Wallets and Luggage › Bags & Backpacks › Backpacks › Casual Backpacks",‎B07BZ5VC4H,"‎Safari Industries (India) Ltd, Safari Industries Ltd 301/302, A-Wing, The Qube, M.V.Road, Marol, Andheri(East), Near international Airport Mumbai- 400059 +91-22-40381851/838"
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1692638497&sprefix=ba%2Caps%2C283&sr=8-18,Computers & Accessories › Accessories & Peripherals › Laptop Accessories › Bags & Sleeves › Laptop Backpacks,‎B09TPX22NF,"‎ADISA, ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com"
https://www.amazon.in/Arctic-Fox-Liters-String-Backpack/dp/B08L6Q9V1H/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1692638497&sprefix=ba%2Caps%2C283&sr=8-19,"Bags, Wallets and Luggage › Bags & Backpacks › Backpacks › Casual Backpacks",‎B08L6Q9V1H,"‎Arctic Fox, Outshiny India Pvt. Ltd. No.17, Ganesh Nagar, 8th B Cross Narayanappa Layout, Kodigehalli Bengaluru - 560097.."
https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1692638497&sprefix=ba%2Caps%2C283&sr=8-20,Computers & Accessories › Accessories & Peripherals › Laptop Accessories › Bags & Sleeves › Laptop Backpacks,‎B075MK4TXP,"‎Gear Merchandise PVT LTD, Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366"
https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTCNN75/ref=sr_1_21?crid=2M096C61O4MLT&keywords=bags&qid=1692638497&sprefix=ba%2Caps%2C283&sr=8-21,Computers & Accessories › Accessories & Peripherals › Laptop Accessories › Bags & Sleeves › Laptop Backpacks,‎B09VTCNN75,"‎FUR JADEN, Fur Jaden, 3C Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002"
